"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"75","sq15","MM_Nab_C3_",0.076205187616657,"MM_Nab_C3_","Summer",26,"Few Large",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"76","sq15","MM_Nab_C11_",0.0759799222685048,"MM_Nab_C11_","Summer",26,"ND",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"77","sq91","Mat_8P_TCATTC_",0.0757836533900717,"Mat_8P_TCATTC_","Summer",26,"Few Small",1,FALSE,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"78","sq15","Mat_9P_TCATTC_",0.0757469168592883,"Mat_9P_TCATTC_","Summer",26,"Many Small",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"79","sq64","MM_Nab_A6_",0.0757021599613554,"MM_Nab_A6_","Summer",22,"Many Small",1,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"80","sq15","Mat_27P_TCCCGA_",0.0751237312764261,"Mat_27P_TCCCGA_","Summer",22,"ND",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"81","sq64","MM_Nab_A1_",0.0749331272662426,"MM_Nab_A1_","Summer",22,"HD",1,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"82","sq64","Mat_34P_TCGGCA_",0.0749330767943784,"Mat_34P_TCGGCA_","Summer",26,"Many Small",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"83","sq15","MM_Nab_A1_",0.0748023539202282,"MM_Nab_A1_","Summer",22,"HD",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"84","sq64","Mat_17P_TCATTC_",0.0747507438534217,"Mat_17P_TCATTC_","Summer",22,"Few Large",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
